Config,Gain,Vcc,Vout,RC,RE,RG
CG,26.77780535,10.65783618,4.757562487,274.7901438,16.89267301,14722.71929
CG,13.02714206,10.04903513,10.01429074,359.1973676,708.2256149,20152.99318
CE,38.36333358,17.58806033,1.534731888,16053.32844,418.4299918,9364.097023
CG,45.47090827,10.24708118,6.540160266,461.318333,647.5667892,21859.18675
CC,-1.440303159,7.085339214,5.733591821,559.9555568,303.6818623,21335.29644
CG,44.67326525,9.245092799,7.552099692,876.5189268,667.5370751,5399.393365
CE,45.23583248,18.43758313,9.156935289,9280.647844,205.1364248,9509.080763
CG,-9.566184851,7.961280223,14.23157545,165.9103791,940.236545,20205.51309
CG,50.67192626,16.93937077,3.011385256,433.2399941,507.974444,2124.19995
CC,61.7529642,8.89823051,5.026435998,725.4966424,154.6287767,18062.70589
CG,0.880055039,5.536892377,17.84735241,126.4139837,369.857854,14972.57675
CG,24.03707878,16.9813187,4.993771056,144.0981436,380.1760002,13725.91269
CE,16.75184773,6.43995403,5.595669017,844.2850123,50.37451567,8834.813863
CC,25.86387419,16.44445852,16.95268711,674.4609244,771.7140434,11567.64523
CC,29.92652203,8.28845789,12.1805752,555.9878608,489.6888432,18535.86183
CG,53.42050947,18.78773056,16.19874869,323.5077213,642.6525313,12325.20422
CE,71.93346255,8.933166798,12.95631043,-4023.143635,-55.95368038,9279.039187
CE,18.42431415,10.10224492,17.51636827,-7414.123356,-402.434734,9705.446395
CC,57.74759446,17.90469578,14.39051267,779.810668,989.3320205,6617.511552
CG,101.5718453,10.90796496,9.968080595,799.3146826,220.8611983,3208.59685
CG,85.29544301,9.59235747,11.73881169,628.5862865,786.084396,2591.885197
CC,44.21658116,11.85767685,4.826305181,670.7433519,35.49005673,10691.98005
CG,55.49471362,14.39345235,14.85775386,784.3029553,93.60810322,17595.09718
CG,98.52671783,5.633833833,8.709647467,821.9048809,171.4191032,9649.81695
CE,50.1598407,9.74898799,10.50644724,-757.4592489,-15.12591018,9297.492119
CC,67.23040092,8.460738938,6.264715222,600.7791619,599.6616145,21549.42087
CG,87.6172087,19.44787152,13.87820849,639.4966199,176.5255689,19663.29403
CE,49.65215835,10.50776623,13.32621029,-2818.444061,-56.78877734,9387.870639
CC,86.3131167,9.85916173,12.75333619,388.8845733,950.9789851,4533.341405
CC,26.00384876,9.978456462,2.676312099,675.2886099,498.5213694,14157.54246
CE,79.27261641,6.84900047,8.805894635,-1956.894165,-24.71062605,9014.032227
CG,46.7753442,17.06642289,10.7202192,914.0522183,431.2110267,7216.114671
CG,36.85266011,18.36989509,16.54692901,225.6038432,18.79338435,1418.00755
CG,78.08475398,19.94580412,9.165394524,735.7114075,561.3025469,13337.52436
CC,54.85645934,16.96740963,3.613747479,809.4181732,220.9691092,18493.21414
CE,4.702119661,18.87629673,6.28660103,12589.6957,2677.426152,8210.758074
CG,70.66799096,17.17055459,17.34578363,288.7990793,522.3586847,21943.61697
CC,63.55031802,18.70654147,5.818125414,556.2907894,260.5695551,5916.887671
CC,53.69411792,12.71097962,5.416433661,649.671881,766.5312815,18464.62892
CG,60.78441129,7.84151278,9.066485892,214.0757387,976.2456279,17410.27786
CE,44.37037377,9.127821989,16.13932531,-7011.503325,-158.047183,9406.262723
CE,91.97120652,10.13197433,13.15649177,-3024.517436,-32.91048177,9341.599676
CC,79.9662495,19.43608432,10.69246705,276.8607075,506.7823008,10888.64169
CG,-3.286675536,10.81836326,15.4084377,690.407517,913.1368368,11718.69878
CG,59.37277635,18.87173111,4.495574186,881.1491499,65.9990126,12497.80836
CG,41.84399625,13.18424546,14.82746315,549.1082916,194.4547928,15382.71639
CG,111.1132955,7.521554578,7.698089756,723.3903405,19.57658214,18358.81803
CE,41.45075048,12.41707964,17.12806187,-4710.982224,-113.6775194,9527.80968
CC,35.50771306,9.073775618,4.364886303,779.5899399,258.3933855,11277.93024
CE,40.15751899,11.98495347,12.99770991,-1012.756434,-25.24459671,9436.997895
CC,86.51730843,9.830993008,9.250123608,276.6324498,261.8186956,1819.588905
CG,83.2966763,15.57236641,4.39537108,331.9147715,104.1296573,21697.05039
CG,24.22869251,10.2705634,2.633243161,910.7272194,235.1898295,7850.704048
CC,44.53195336,5.378808794,17.19553914,712.713054,678.7544477,6177.925795
CE,39.33949436,8.762885102,7.713823499,1049.061603,26.6418807,9170.773242
CC,82.98941734,9.882289468,7.982843758,255.1359481,590.5776125,19872.91132
CG,49.22134758,5.63961808,17.82581702,564.2030873,939.3255053,3973.278893
CG,58.99538063,8.230923572,18.07295718,855.9105966,373.7752131,4031.889817
CE,23.8576457,8.050165514,15.36829122,-7318.125702,-306.7663187,9511.520998
CC,46.09246903,7.050904325,4.89221497,910.073283,523.5401991,20681.49107
CC,89.94537166,6.073570576,2.001222448,681.7573817,667.3294746,20445.92203
CC,96.53212902,10.41583548,15.78787951,532.299464,985.2869785,17450.30702
CE,59.12631034,8.569253197,2.451907011,6117.346186,103.437336,9062.418489
CG,26.99346783,12.77124269,9.877031053,288.9117101,906.3706617,3557.766801
CG,94.95840175,7.272577446,11.96220725,627.5570194,772.9449358,11516.8412
CE,71.65674282,13.21251537,16.4440386,-3231.523237,-45.12226663,9504.350447
CG,64.99578661,10.74098029,4.646455908,312.7770365,604.0027984,18694.28184
CC,70.62630229,9.210692446,14.56039485,549.6194634,231.1139405,19191.4161
CE,36.1715669,6.713205088,7.019116528,-305.91144,-8.482234956,8969.914138
CC,61.25861237,5.258775091,3.184275942,941.7968667,976.8638681,16080.80348
CC,79.25485728,11.22469069,7.285336688,506.2420062,307.3457772,7544.695377
CE,66.39173995,11.57557275,1.98940498,9586.167769,144.3629581,9270.564855
CC,70.13572165,16.24553528,12.67941298,422.0755426,595.7616184,16704.17546
CC,45.69959253,8.917779217,9.736111337,344.0477769,85.03635549,18598.3292
CG,90.87585481,11.08550451,8.664810958,513.9522716,220.6474948,15901.5019
CG,20.81934031,17.55941766,6.040971965,290.5934603,81.91289507,14236.73905
CC,-8.324785013,10.28460233,14.4813751,947.1715719,198.9658861,1452.151147
CC,45.56476078,14.74880132,15.53366016,147.3682119,828.3448526,19879.30276
CC,83.33963766,15.85980686,5.449590164,149.3904482,10.38131999,7614.161653
CE,52.21015741,9.153568531,9.482609504,-329.0409734,-6.327240594,9242.183246
CE,63.77028476,19.61115724,15.93300554,3678.1517,57.65314451,9613.662195
CE,55.59993711,11.7710098,9.165050344,2605.959454,46.84482737,9365.521871
CE,11.93651472,17.50343427,11.12378436,6379.649909,534.4400479,9294.744089
CE,79.06247588,14.08221624,17.9277655,-3845.549266,-48.66437315,9537.476477
CG,88.20391206,19.54742549,5.354184431,405.0028416,361.3229864,9562.81374
CE,38.37793151,9.903215185,2.362636391,7540.578794,196.4571578,9094.781704
CG,18.49897514,19.84518334,9.210822772,693.6600806,848.360376,12669.13873
CC,66.22516058,16.74645521,14.6052756,980.3210324,617.8875897,5353.501698
CG,28.36180141,5.345123937,7.56135425,932.0508792,519.3269461,4186.040675
CG,40.83685075,9.900451643,13.22942174,235.9766029,526.6814408,2480.807963
CC,24.76230835,10.84416081,8.916229545,513.9016946,191.9693799,19330.99732
CC,56.04117163,18.16470062,2.68088671,285.93716,749.8289237,19462.79946
CG,37.09678669,15.64250404,7.402951243,154.7723786,799.2379783,8871.084567
CE,60.77567136,14.99255916,5.12087102,9871.688139,162.4032861,9424.779134
CG,56.42979169,13.0439248,11.07549426,499.596209,493.7228303,3809.297767
CE,43.43151881,5.410139553,11.23666154,-5826.521989,-134.1792306,8954.147552
CC,69.90682197,13.72326297,10.81307779,532.5245768,259.1472064,14769.51396
CG,45.81135067,10.85890931,16.51918123,258.6446011,105.730805,14195.45016
CE,74.20827778,19.93034033,8.969087921,10961.25241,147.6842952,9574.676457
CC,26.13693743,11.10385195,10.31475483,334.0645248,60.48256305,18380.50689
CE,71.75409587,17.71954423,11.33765354,6381.890691,88.9161345,9554.776283
CE,30.80496302,7.475739871,4.258974571,3216.7653,104.3986053,8923.987967
CC,61.854321,9.199243187,5.09700051,192.2760089,505.2409489,10926.53846
CG,12.69828909,8.184160103,2.417878778,253.9804706,424.6274274,11779.55837
CG,66.2602825,10.35138085,10.01543597,520.6670427,109.1202597,12160.28318
CG,39.04691422,16.33102673,6.01033096,407.371016,703.9018276,17865.12
CE,136.8173624,11.16643667,4.24779874,6918.637927,50.54342059,9327.85772
CG,67.48118555,5.999002254,13.96813704,439.6652208,60.71900526,9831.278824
CE,20.00150937,5.263653203,10.0047305,-4741.077297,-237.0609761,9120.498623
CE,66.55110355,17.43758495,7.228674311,10208.91064,153.3745696,9510.61195
CE,40.02584493,19.32311698,18.22324883,1099.868143,27.45394878,9623.531778
CG,80.90189926,11.14478191,15.66720823,356.1038423,571.351342,1285.258167
CE,73.97639717,6.403694087,10.98431213,-4580.618042,-61.94499363,9003.614167
CG,54.00165091,9.562504752,12.46482704,125.2406912,54.13403617,2265.111129
CC,32.08520831,6.925270962,6.322898724,674.5905417,823.2864912,4844.639118
CE,50.1871701,15.81185447,13.06788393,2743.970539,54.64974123,9522.731668
CG,34.76357964,13.91030556,16.11743428,786.742812,659.5523261,21810.17864
CE,61.03678827,8.703925672,12.48340229,-3779.476615,-61.94628914,9266.935708
CC,15.55249982,18.87094207,4.0088598,718.0140406,982.9653958,3322.650431
CG,54.73978547,16.627811,15.87433791,311.6290863,477.3190492,18836.01215
CC,22.20982178,9.888493468,1.933916391,993.5595216,822.2375579,17130.34894
CC,113.857129,16.50684868,12.05674095,869.0689354,105.3179635,526.132528
CC,39.36828895,17.37258884,11.20758269,770.7770247,711.8348952,10667.75373
CG,17.2809264,9.020992926,8.904256336,796.5252092,241.6335376,18649.93047
CG,54.70381095,10.13119461,2.563437784,889.5266395,44.30794134,18455.61583
CC,83.0924374,8.749064123,4.204062136,847.4391587,172.4960556,4895.16205
CC,21.84931357,13.70014078,6.101489321,929.3407725,792.4596791,19861.07408
CG,50.83338997,6.491594756,1.344965187,833.6884564,523.3064895,5508.888264
CC,44.41715494,18.00677498,11.11646761,404.3443079,806.3027312,8212.455924
CG,71.18063507,16.66122494,3.326043741,816.8020922,386.4933144,5782.280493
CC,97.28578568,11.63018144,10.50100053,891.6267166,279.4044495,21458.74627
CC,31.36202067,18.26183263,3.650951729,753.2408879,931.4874934,19504.14558
CC,16.07178835,14.49212028,11.47341948,897.9887317,100.4167679,1902.234836
CC,88.025391,12.69424189,17.72813985,521.2295066,830.3786057,13707.94359
CG,117.6692568,9.86477822,7.722526465,348.0809443,285.7587209,15457.1622
CC,36.55595473,5.640642594,18.22401593,287.2856376,238.8049662,13640.14085
CG,57.27343346,15.45778798,2.641760273,900.2038997,463.7860168,7531.315754
CC,41.05920034,18.20994268,15.57581806,543.0953513,864.2088673,6269.602573
CG,74.682619,18.77655428,10.13202808,590.1073102,996.9049398,2972.192357
CE,57.44819803,11.61469332,4.150067761,7464.625564,129.9116354,9285.464013
CE,38.65977306,14.98033398,9.123511891,5856.822085,151.4715459,9431.607101
CE,75.54894765,5.174896346,15.9598452,-10784.94886,-142.7794551,8923.223756
CC,95.42156252,8.937540736,12.75523019,881.3610905,75.86551129,20219.56528
CG,52.28437099,11.38874358,10.78611281,134.4400022,20.42196625,7259.70952
CG,26.28503549,9.646239307,1.220873444,527.3940368,329.3465706,2572.720722
CC,60.17144585,12.07044136,2.2415969,193.1668541,730.2361751,9466.417741
CC,80.76120324,15.57793774,2.45958505,977.2290416,647.1087085,280.9980585
CC,18.59030709,8.801095349,4.335488822,682.4310125,383.700291,3789.829542
CE,65.14791155,5.266303815,13.87009068,-8603.786863,-132.0904286,8921.616391
CG,78.78950415,8.018315536,1.723438228,419.4873766,159.2057,20373.24423
CE,66.86277222,12.21291375,11.44389016,769.0235879,11.47652114,9417.439167
CE,104.4652711,12.47311248,17.64207789,-5168.965409,-49.50522776,9478.482397
CG,17.98930854,10.58317115,17.04580239,323.5633554,441.6935831,17948.49336
CG,78.82544104,14.5105726,11.41193496,207.683286,522.7391818,4239.339648
CC,52.68975604,18.28226141,3.79093098,184.6522386,897.2614693,11344.4965
CE,85.32738655,17.59206809,16.67845251,913.6155804,10.68217875,9596.021244
CC,17.51965877,8.322207005,11.94692103,141.841264,55.26374556,1181.062762
CC,63.63874273,10.7132975,1.400303541,836.4754382,593.9521472,4998.274822
CE,27.32130925,9.091928596,4.063188877,5028.739719,184.0342511,9027.671366
CG,-0.20891195,9.389187398,4.803889119,421.2751136,580.9077076,19873.28157
CE,76.62830495,13.39394671,6.965815597,6428.131113,83.86216307,9414.763863
CE,64.54368591,16.77684116,17.11705882,-340.2176596,-5.296122261,9585.91497
CE,100.9978039,9.957624837,2.514871916,7442.752921,73.66722528,9223.040396
CE,52.44993086,15.66425067,10.86323751,4801.013165,91.51016671,9494.702822
CG,31.66893304,7.158095316,6.028487861,689.7557287,10.82895016,15785.29579
CC,47.61597992,5.938560794,3.271658205,688.6118972,119.7772594,6728.420126
CG,69.09234638,8.51085772,6.321580277,722.3229947,435.5007742,20590.36443
CE,56.02381875,12.59537067,7.199084012,5396.286658,96.29629296,9367.786535
CE,64.9470866,19.63669459,13.12766588,6509.028718,100.1954881,9592.499907
CC,53.96634711,18.27283352,7.830052019,107.2116049,831.5238269,19815.42381
CE,93.28349358,7.869782253,6.059905032,1809.877221,19.37690222,9085.899865
CC,6.670943166,17.06350726,8.11782124,876.2230372,47.67364288,2810.389938
CG,39.87213543,7.45267079,9.691673086,268.8303832,373.4844722,913.7275495
CE,72.63671245,11.76577186,4.591205413,7174.56645,98.74828155,9321.125472
CC,99.39571752,6.218427833,16.35572893,245.1218095,699.7371512,21308.86841
CC,49.81647823,17.7032183,14.25011832,153.027313,932.1459673,12154.97847
CE,39.2319383,9.683492133,14.72682207,-5043.329941,-128.5766383,9409.899493
CE,79.13903122,19.96393831,3.722783466,16241.15484,205.1980687,9546.583417
CC,68.36794781,11.04801948,17.31889035,305.2619756,60.90230929,11739.10385
CG,60.08234787,17.33446602,15.00626605,292.4618391,878.3275402,8756.099589
CE,56.30138049,11.89256027,5.218979367,6673.580906,118.5081665,9311.747725
CC,93.22756305,10.86751445,6.467620855,899.7745593,454.8927503,8468.102008
CE,36.43970219,19.78757907,11.99444674,7793.132326,213.8387765,9538.175553
CG,6.677238711,13.72599726,12.43024714,353.220279,315.6562268,17681.73239
CG,98.54721986,18.99810932,3.210166034,687.7123148,344.193067,17258.45277
CG,48.16322834,7.574558487,11.41243013,428.8255936,582.9828028,14328.26455
CE,86.00580324,14.32376379,11.30849634,3015.26745,35.03388367,9486.843057
CC,57.98019203,17.65534873,4.465208515,638.5559933,643.717053,5186.353608
CE,59.96291087,8.991779267,5.34571749,3646.061777,60.78028319,9153.915748
CC,8.292628886,5.367384795,4.303426561,782.1754592,256.4614348,4303.81534
CC,32.07156733,9.897710181,5.995792365,202.8905159,813.9030722,4295.940358
CE,28.96996863,19.18456933,11.89031993,7294.249399,251.7615826,9503.89213
CE,47.83434011,12.58342331,4.352456237,8230.967072,172.0473449,9306.987198
CG,88.33884428,12.83475482,12.94560002,918.5542802,758.2910447,17147.20141
CE,44.43170532,15.98740018,1.790385977,14197.01421,319.499405,9362.310699
CE,130.7581486,8.185380124,10.78402459,-2598.644462,-19.89867129,9169.126762
CE,34.30317438,10.8697574,2.93394125,7935.816152,231.3184921,9143.202136
CG,60.16347265,10.72440387,14.43677122,526.3157568,377.6209426,16080.71889
CG,17.13498475,14.65446014,14.70469891,978.9592893,13.75858517,9290.048282
CG,66.32836736,14.54565341,7.629899574,507.8900029,376.3611894,10128.95767
CE,51.18960774,19.73868537,11.31932957,8419.355798,164.4489268,9562.053444
CC,84.06260312,16.32089586,2.113244562,493.6827744,631.721501,4707.080566
CE,93.64591072,16.06943795,12.54784486,3521.593092,37.58041239,9541.004225
CE,28.99978281,18.57266907,9.791637016,8781.032053,302.7714765,9460.082192
CG,58.38466629,17.23930761,13.64597198,520.7230548,71.79028521,4431.279088
CC,118.6189346,13.39837021,14.49763927,711.1227139,839.3266824,18340.74141
CE,57.83359597,12.33555649,18.22353175,-5887.975253,-101.833908,9515.087874
CE,30.33429188,10.01442481,2.145018852,7869.405962,259.3977679,9041.984152
CC,43.76591005,16.67859348,1.600624651,188.2620987,364.7923836,15651.22319
CG,65.87576422,9.905543963,17.86905722,343.4313691,215.6010358,1150.75877
CE,31.3777925,18.0218224,16.58339275,1438.429658,45.81728347,9586.158788
CG,34.94729119,10.6934108,13.57635358,246.0590985,23.21408128,14216.56295
CE,32.82068868,10.75192883,6.030145007,4721.78382,143.8410799,9215.172372
CC,69.97261137,10.56334715,13.74527721,585.4600573,790.2474246,12840.78193
CE,50.4047,6.748273171,3.789693387,2958.579784,58.67150615,8875.754601
CG,56.90160893,5.841807186,1.119236492,450.3766961,367.6913371,4279.367041
CG,103.4626146,19.53242943,9.460613954,316.8958315,236.8833016,19982.40618
CG,92.97056448,18.83939086,15.91166787,707.3530455,562.4790889,1057.716041
CG,41.07712759,16.97503988,4.224789033,213.5359492,708.0652855,17395.15317
CC,9.59717811,18.02913577,4.288704329,247.0825192,379.1324907,17758.03383
CG,92.0997414,5.832651652,7.555473234,296.8426122,682.0850943,7239.152356
CG,21.54016432,8.774968574,11.75633212,307.7221315,599.6795708,4705.795848
CE,49.52416605,17.8577768,17.99342393,-135.6471334,-2.764008937,9609.561706
CG,-9.951570003,11.93211829,13.83517881,800.2236807,84.42871282,10786.648
CE,109.5717145,12.71877556,18.23751606,-5518.740501,-50.39147029,9489.252305
CG,51.18584774,16.61321958,4.282678086,671.8441346,695.5954207,7311.982564
CG,39.44919541,15.74415624,17.66171675,155.8586315,160.9817619,14526.37525
CE,48.42520844,7.887315278,15.29582625,-7408.510969,-153.0137265,9306.498784
CE,14.33720856,7.452098361,1.234296433,6217.801928,433.657882,8478.740045
CG,19.86892185,12.74549777,7.827316993,340.0415168,154.0433052,2495.117328
CE,32.60989818,14.10437358,3.797497961,10306.87562,316.0408633,9279.627091
CG,36.52258411,8.933232819,11.11454907,441.1449558,457.42894,2903.595655
CG,48.0430937,15.41687925,16.90537573,385.659382,583.6036254,2492.934239
CE,93.28675474,8.83257349,18.34124731,-9508.673817,-101.9545166,9322.909134
CG,56.0486643,5.496923531,9.586586505,548.1648015,758.2071067,5743.710696
CC,28.55953318,16.01762478,11.92114094,957.0956993,517.4536448,14388.0991
CC,69.85247894,9.470073335,2.725596495,434.8742995,977.2473464,10390.72664
CG,53.49720271,13.09825007,16.40048069,872.118242,206.190452,4320.453587
CC,84.41531283,6.974396885,6.288082384,464.6702037,309.4543138,17764.39739
CG,53.59484625,7.808672625,10.94467718,207.7271523,54.76591443,11283.76658
CE,18.46485106,19.19646084,8.528719331,10667.74151,577.7073345,9334.40474
CC,49.64173064,15.54589172,12.83838089,673.3955796,228.8219362,11513.95752
CG,35.24883816,9.208192763,3.234232395,134.3138022,839.9869133,4639.201675
CC,18.95707824,18.25263799,12.1234487,658.157702,603.5329279,16914.97318
CG,39.57441254,9.346547727,5.624905225,493.8213269,229.385677,3589.071121
CE,90.26365179,5.904934215,12.73990559,-6834.971374,-75.7473006,8942.828698
CG,104.2816008,15.19276341,14.92422519,588.280819,943.5331692,6493.180147
CE,65.61310429,13.080586,4.622619821,8457.966177,128.8816608,9366.326814
CC,111.5623814,5.026135454,16.07949729,419.8931452,285.7644546,13590.97809
CG,72.79632571,10.77155278,15.89088916,674.1314369,242.337841,20013.30061
CE,49.20840815,7.473904736,11.56922667,-4095.321938,-83.24902801,9174.794175
CG,64.54625706,14.16610644,13.50309104,138.123378,744.0813595,9675.510451
CG,47.22744682,8.466953645,16.50160173,560.0511798,877.5060731,6396.138
CE,34.82148105,10.89961143,13.98204778,-3082.43635,-88.54611559,9439.013135
CE,37.76151653,7.548995392,17.39371705,-9844.721659,-260.7327937,9418.111704
CE,83.02192272,6.774840993,6.617967706,156.8732871,1.864540521,8964.013264
CC,54.90457285,17.64326215,3.919170704,629.5265262,676.2341998,21625.35253
CC,78.40728946,16.5685806,4.487889935,289.2902234,20.25640688,12205.52763
CC,44.88174209,11.86112597,13.88418715,548.2338151,338.6632279,6285.049986
CC,25.58999996,11.3064816,4.246553783,509.9780598,402.6813709,3110.367104
CG,47.53495052,11.65594772,7.173707791,772.4035909,943.6469478,7466.895072
CE,71.91201046,17.88617415,11.97731142,5908.862733,82.14295352,9562.71087
CC,52.78181034,19.8097466,10.49904906,116.4045725,440.3629105,8530.845857
CC,91.01029708,10.51071145,17.80525888,744.3551065,16.09588413,13819.36712
CE,-0.428997742,7.078055877,15.24765379,-8169.597908,-19043.47701,35915.9822
CE,33.27459313,19.26847001,2.144909636,17123.56038,514.5886667,9369.649658
CE,93.45026151,13.83600553,12.00764766,1828.357866,19.54003745,9479.951034
CE,92.77018743,8.081993844,11.8160795,-3734.085651,-40.27592279,9183.711235
CE,15.84814548,18.90062297,15.61275121,3287.871755,207.4359776,9519.890969
CE,84.31400884,15.38364697,3.322813735,12060.83323,143.0216111,9452.001458
CG,41.61354628,12.81929736,14.17768615,894.8266887,287.9581685,19771.30488
CC,43.8075132,18.6924177,13.2047671,587.2159098,179.5096743,13995.69774
CE,46.0682952,11.14524715,16.18840754,-5043.160383,-109.4963916,9470.174506
CE,57.05086569,19.5604381,4.572403288,14988.03481,262.6885387,9507.838969
CE,25.87362735,14.66600087,5.187194889,9478.805981,366.3251006,9272.927153
CE,50.45929989,5.515034609,16.88868676,-11373.65215,-225.4274962,9139.493154
CE,34.87652036,9.300985632,6.178537179,3122.448453,89.50366916,9151.161285
CC,34.2650042,12.38795106,9.211180065,318.4297325,354.5237322,19986.69358
CC,21.82655005,19.75881634,2.070074493,524.2647147,961.1247906,8655.272674
CE,45.07981858,18.09475895,13.23237532,4862.383628,107.8366503,9553.552135
CE,23.44173375,14.41185672,1.084456692,13327.40003,568.5080346,9119.816371
CE,75.43015172,19.37130218,11.63486667,7736.435514,102.5392311,9585.707133
CC,21.81358708,8.830631725,8.309326093,744.9726268,949.4819817,6624.062173
CE,59.07168683,10.53360688,18.4041847,-7870.57782,-133.2627361,9461.972266
CG,54.38995546,15.39073684,17.14789993,938.2559509,232.4411516,160.4540162
CC,34.07827716,17.83700878,7.472109594,101.5483123,495.796084,8812.048186
CC,67.75058258,19.96761701,3.271991009,551.252373,556.8891076,18151.30648
CE,52.6346702,18.77482604,5.755479706,13019.34633,247.3280523,9495.426455
CG,45.96889605,9.073221511,14.28972406,326.5777307,311.5185852,476.1314429
CE,88.98913757,6.26775554,14.17085657,-7903.101025,-88.83472712,9024.905696
CE,20.2180699,18.50424106,3.709441416,14794.79964,731.7362273,9226.265902
CC,61.94043912,15.10137314,16.41441824,677.510125,151.1362654,16836.81999
CC,38.82651378,8.080784527,17.34442013,489.4609939,889.6807209,19669.80861
CC,61.85125936,16.46074903,5.661904816,314.1460732,627.6846815,20774.0913
CG,39.55875612,15.91990758,10.42760121,287.1537637,687.1531383,15513.42091
CC,71.40255266,6.652767487,1.145172674,919.8974914,193.7227578,17636.74569
CC,102.1586579,15.99486999,14.41562824,147.6976139,26.40887636,7300.69355
CC,53.56433025,8.516347261,13.03177416,545.9532227,586.0585223,7674.612209
CG,43.77625262,12.17085579,1.316969126,684.726443,88.01839382,18166.34738
CE,36.46636448,7.935567633,14.34714344,-6411.57581,-175.8466346,9339.488503
CE,58.82043516,18.77648804,16.40464719,2371.840851,40.29841557,9605.73116
CG,23.83652104,17.79500997,4.371839147,994.66504,266.8977092,17672.60453
CG,27.77187112,5.503235033,1.910873432,387.2811158,523.4468728,20085.65444
CC,47.72950254,19.85307101,17.68293948,849.4912349,974.1432762,11960.91284
CE,73.82596312,15.39217478,7.689003273,7703.171503,104.3173096,9477.450509
CG,84.15771953,19.21237197,8.584407183,379.7016111,285.7564685,14448.47729
CG,40.88942782,13.42819175,2.653428984,252.1622001,923.3099702,16566.96256
CG,94.82801619,19.06668754,16.52344655,149.587859,325.8106311,10880.259
CE,85.24695523,15.9642386,5.530470859,10433.76774,122.3696089,9484.867629
CC,64.588143,5.30127225,17.16427614,821.3540594,413.6031408,513.3766783
CG,60.15726872,17.79148894,1.406443945,156.1261281,796.4698902,16124.07586
CE,24.04619434,5.660907776,2.049157468,3611.750308,150.1754957,8498.164024
CC,0.375839471,17.57789728,8.128906334,477.5231605,921.8753128,11468.81672
CC,42.25408697,7.718690437,5.470329202,725.2411483,201.6856668,12469.62138
CC,77.56871786,8.390733065,15.51223159,785.9482951,496.0101243,6920.961171
CC,27.65962904,11.49961314,1.127174821,965.9727401,557.0742458,2881.041407
CE,72.89978743,18.58503402,5.680658447,12904.37558,176.9902703,9528.12017
CC,27.5678535,10.24900814,2.44129808,976.972862,120.5868326,11179.28274
CG,68.08323215,9.015883538,2.430584924,912.2327769,567.1866517,2902.455118
CG,81.49992454,11.79730227,8.143711997,329.8054478,781.6266438,6799.95401
CE,13.34201556,14.48455688,10.78853398,3696.022906,276.9963308,9325.491046
CC,33.8425336,12.40835893,18.07169662,998.8162979,945.9450688,19536.81614
CG,43.40975526,7.154393048,7.614678266,240.5459482,142.2604143,20254.42814
CC,49.94892207,8.68733291,9.743981591,618.7720368,569.4519265,4690.61407
CE,49.29841007,16.94714527,10.27253022,6674.615054,135.3670957,9507.075037
CC,82.15586658,14.80768909,12.23807646,808.3677608,142.2688112,9320.480251
CE,64.9473561,16.58075073,16.50892163,71.82910107,1.080958816,9577.171764
CG,96.37846561,9.072722851,10.66218277,904.2186739,630.7539807,19951.32384
CG,67.922593,11.49674757,17.25611213,212.074285,461.0001359,4520.70321
CG,42.06667269,11.60173575,9.304814413,961.1154473,74.46068162,6234.583803
CG,59.74936982,19.59979679,10.48736574,767.288688,540.1569617,17412.88892
CC,13.18868847,6.490072426,10.90424154,128.0017344,772.1506172,525.8132494
CE,44.96420058,18.25440887,17.66897831,585.4305574,12.99492585,9609.412208
CE,50.73003258,12.34194764,1.715085736,10626.86191,209.4537124,9263.119778
CE,48.27644436,15.29395171,7.561926944,7732.024764,160.1364383,9437.596996
CG,81.91748481,13.25739234,17.62925059,732.4943645,505.5695039,4467.453403
CG,23.06325802,16.30066708,12.80644323,799.266053,419.1878043,1667.765908
CC,80.45610528,11.58794583,4.533555327,171.3205093,643.0684176,8871.25683
CC,70.41722804,7.57026067,2.582990496,904.0761833,954.6272162,5235.547569
CE,92.04668791,16.0997668,4.600343557,11499.42324,124.9053316,9487.629019
CG,25.98553576,10.09762401,15.51013677,709.2089142,890.6887145,20199.30712
CC,10.91400184,18.05227025,13.77932357,243.3236249,580.9799063,20224.61134
CC,50.61314677,14.40268254,8.40930582,304.7387388,339.8340688,6701.278093
CG,86.26352298,13.9882078,6.939773675,982.2240534,145.4081652,4341.066869
CC,70.88181459,9.331822034,8.360464342,765.8172728,437.2609767,4351.400021
CG,68.72925977,5.585051305,17.31844304,504.4613321,736.9184058,850.8422358
CE,17.98977727,11.37084425,8.716837914,2654.006337,147.5035824,9254.669606
CG,55.68219225,7.690340435,2.915587678,666.4015692,803.1769835,10519.54144
CC,99.28763925,11.37362264,5.879376367,908.1365172,375.4234847,10754.2429
CG,-32.90953547,18.97279964,5.507743205,435.2409254,491.3712401,7601.907946
CG,57.88861183,13.23582066,17.42024347,772.1220356,932.0593316,5858.969418
CC,85.05012044,12.46860413,7.3328467,986.2828068,437.7997873,5928.554411
CG,8.046718694,6.260310672,11.65024538,392.9178986,832.4589502,8417.581939
CC,65.74546587,17.05714666,8.447061399,224.0008693,19.47560749,2325.508679
CC,89.40884018,12.45583372,3.82783451,856.6834996,573.0684591,14691.88571
CE,20.39657222,12.55809344,18.39723039,-5839.136955,-286.3053068,9670.575239
CE,67.9380061,11.49537171,16.9237422,-5428.370491,-79.92682231,9460.588841
